productId,productName,productPrice,productDescription,categoryName,productBrand,productCondition,createdAt
00903e92-7248-44d0-994f-6251480cff06,Remote điều hòa casper B25 Series,250000,"Bạn đang tìm kiếm một chiếc remote thay thế hoàn hảo cho điều hòa Casper B25 Series? Đừng bỏ lỡ sản phẩm Remote điều hòa Casper B25 Series tình trạng Like New cực chất này. Sản phẩm là hàng lướt, được sử dụng cực ít nên giữ được độ mới lên đến 99%, ngoại hình đẹp như mới và mọi phím bấm đều nhạy, hoạt động ổn định. Đây là giải pháp tiết kiệm tối ưu mà vẫn đảm bảo chất lượng tuyệt vời, giúp bạn điều khiển mọi tính năng của máy lạnh Casper B25 Series một cách dễ dàng và chính xác.",Đồ gia dụng,Casper,Like New,2026-05-01T15:03:41.479Z
01021c53-cc92-4bc8-94b9-d1b9910fa001,Honda Vision 2019 còn rất mới,21500000,"Xe Vision 2019 nữ sử dụng, ODO 19.000km. Xe chạy nhẹ, máy êm, chưa đâm đụng, chưa ngập nước. Mình bảo dưỡng định kỳ ở Honda nên vận hành ổn định. Nay mình lên đời xe nên nhượng lại cho bạn nào đang cần phương tiện đi lại tiết kiệm xăng. Bao test máy thoải mái.",Xe cộ,Honda,Used,2025-11-10T10:22:11.000Z
033b15ac-d4c1-41fb-94d0-f1432ec0366f,iphone 12pro,5000000,"Sở hữu vẻ đẹp sang trọng và hiệu năng mạnh mẽ, iPhone 12 Pro (Like New) là sự lựa chọn hoàn hảo cho những ai tìm kiếm một thiết bị công nghệ cao cấp với mức chi phí tối ưu. Máy gây ấn tượng với thiết kế khung thép không gỉ tinh xảo, màn hình Super Retina XDR sắc nét cùng hệ thống camera Pro mang đến khả năng nhiếp ảnh chuyên nghiệp trong mọi điều kiện ánh sáng. Được trang bị chip A14 Bionic siêu tốc và hỗ trợ kết nối 5G tiên tiến, iPhone 12 Pro đảm bảo trải nghiệm mượt mà tuyệt đối từ làm việc đến giải trí. Với tình trạng Like New gần như mới, sản phẩm không chỉ đảm bảo về mặt thẩm mỹ mà còn duy trì hiệu suất vận hành bền bỉ, xứng đáng là người bạn đồng hành đẳng cấp cho mọi nhu cầu của bạn.",Thiết bị điện tử,Apple,Like New,2026-04-29T17:05:56.362Z
03ab9142-196a-4ade-bd2e-02a3f1aea6f6,Ghế nệm xoay văn phòng,500000,Nhà mới mua ghế nệm xoay mới nên cần pass lại ghế này,Nội thất,No,Used,2025-12-03T11:11:24.866Z
06fa25e8-3ca3-4d21-b010-0032100fa016,Xe chòi chân trẻ em,200000,"Xe chòi chân cho bé 1–3 tuổi, rất chắc chắn. Bé nhà mình đã lớn nên không dùng nữa. Màu sắc dễ thương, bánh xe còn rất tốt.",Mẹ & Bé,KidsVN,Used,2025-11-01T08:22:11.000Z
0d6165d0-f0f1-4b40-8f2d-90aa00220101,Bộ cầu lông Yonex Astrox 100ZZ,1850000,"Mình bán lại bộ vợt Yonex Astrox 100ZZ chính hãng. Vợt nhẹ, trợ lực tốt, phù hợp cả người chơi phong trào lẫn tập luyện nghiêm túc. Smash mạnh, điều cầu ổn định và cảm giác cầm vợt rất thật tay. Vợt còn mới khoảng 95%, chưa từng va đập hay nứt gãy. Lưới căng chuẩn 10.5kg, mua về chỉ việc sử dụng.",Giải trí & Sở thích,Yonex,Used,2025-11-12T08:41:00.000Z
1ab48739-564a-48d8-9636-5e352847aba9,Tai nghe Lenovo TH30,120000,Cần pass tai nghe dư này ạ 😢😢😢,Thiết bị điện tử,Lenovo,Used,2025-12-03T09:23:14.128Z
1c5b504c-d16b-4f6f-9e56-eecb6eee86b4,iphone 7 plus,600000,"iPhone 7 plus dư, cần pass",Thiết bị điện tử,Iphone,Cũ 70%,2025-12-06T07:30:54.048Z
2187ca72-8197-4f73-a20c-4f80100fa010,Áo hoodie Uniqlo,320000,"Áo hoodie Uniqlo màu kem, form rộng rất dễ mặc. Mình mua ở store chính hãng, mặc đúng vài lần nên vẫn còn rất mới. Chất vải mềm, không xù lông.",Thời trang,Uniqlo,Used,2025-10-10T10:40:32.000Z
2231f5e1-15c1-4620-afe5-d77c1628715e,Tab Đầu Giường,1500000,"Tủ đầu giường thiết kế hiện đại, bọc da PU hoặc nỉ. Tích hợp sạc không dây chuẩn Qi, đèn LED cảm ứng, loa Bluetooth và cổng sạc USB. Kính cường lực mặt trên chống trầy xước.",Nội thất,Yamasoro,Mới,2025-12-06T09:46:08.535Z
