input,product_title,product_description,is_new
"Tớ đang cần tìm một chiếc điện thoại iPhone cũ nhưng pin phải còn trên 90% ngoại hình đừng xước xát quá để tớ tặng em gái đi học đại học tầm 5-7 triệu có con nào ổn không bạn",iPhone 12 Pro 128GB Like New,"Máy mình dùng cực giữ gìn vỏ thép sáng bóng không một vết trầy xước. Dung lượng pin còn cực tốt trên 92% đảm bảo dùng cả ngày dài học tập và giải trí mượt mà. Hệ thống camera ba mắt chụp ảnh sống động sắc nét rất phù hợp cho các bạn nữ yêu thích nhiếp ảnh. Máy nguyên zin chưa từng qua sửa chữa tặng kèm đầy đủ sạc cáp và ốp lưng xinh xắn.",False
"Em là sinh viên ngành thiết kế đồ họa đang tìm một chiếc laptop văn phòng mỏng nhẹ nhưng cấu hình phải đủ mạnh để chạy được Photoshop và Illustrator mượt mà giá tầm dưới 10 triệu",Laptop Dell Vostro 5490,"Dòng laptop doanh nhân với thiết kế vỏ nhôm nguyên khối siêu mỏng và nhẹ chỉ nặng khoảng 1.4kg. Trang bị cấu hình mạnh mẽ với chip Intel Core i5 thế hệ mới kèm RAM 8GB và ổ cứng SSD tốc độ cao giúp xử lý các phần mềm đồ họa 2D một cách nhanh chóng. Màn hình Full HD chống chói với độ bao phủ màu tốt giúp hiển thị hình ảnh trung thực nhất.",False
"Sắp tới mình có chuyến đi du lịch biển cùng công ty nên muốn tìm một chiếc váy hoa nhí dáng dài nhìn nhẹ nhàng bánh bèo một chút để lên hình cho đẹp nha shop",Váy hoa nhí dáng dài,"Mẫu váy thiết kế dành riêng cho mùa du lịch biển với họa tiết hoa nhí tinh tế và màu sắc nhã nhặn. Chất liệu vải voan cao cấp mềm mại có lớp lót bên trong dày dặn đảm bảo không bị lộ. Dáng váy dài thướt tha giúp tôn dáng và tạo hiệu ứng bay bổng khi chụp ảnh trước gió biển. Hàng mình mới mặc đúng một lần đi chụp hình nên còn mới nguyên như lúc mua.",False
"Mình muốn mua một con xe máy cũ đời cao chút để đi làm hàng ngày yêu cầu máy phải êm tiết kiệm xăng và cốp xe rộng để vừa được hai cái mũ bảo hiểm tầm giá 20 triệu",Honda Vision 2021 bản cá tính,"Xe máy Honda Vision phiên bản đặc biệt đăng ký chính chủ năm 2021 với số km đã đi cực ít. Động cơ eSP thế hệ mới vận hành siêu êm ái và cực kỳ tiết kiệm nhiên liệu cho việc di chuyển trong thành phố. Cốp xe dung tích lớn thoải mái đựng đồ cá nhân và mũ bảo hiểm. Xe còn đầy đủ hai gương hai chìa và sổ bảo hành định kỳ tại hãng.",False
"Nhà mình có con nhỏ nên muốn tìm cái máy giặt nào thanh lý giá rẻ thôi nhưng phải giặt sạch và vắt cực khô để quần áo bé nhanh khô không bị mùi ẩm mốc",Máy giặt LG 8kg Inverter,"Thanh lý máy giặt gia đình đang sử dụng cực tốt với công nghệ giặt 6 chuyển động giúp đánh bay vết bẩn cứng đầu trên quần áo trẻ em. Động cơ dẫn động trực tiếp Inverter vận hành êm ái không rung lắc khi vắt ở tốc độ cao giúp quần áo khô nhanh chóng. Máy còn rất mới và được vệ sinh lồng giặt thường xuyên đảm bảo an toàn vệ sinh.",False
"Mình thường xuyên đi dã ngoại cuối tuần nên muốn tìm mẫu tai nghe bluetooth nào chống ồn tốt pin trâu để nghe nhạc thư giãn và có thể đàm thoại rõ ràng khi có điện thoại",Tai nghe Marshall Minor III,"Tai nghe không dây với thiết kế cổ điển sang trọng và chất âm mạnh mẽ đặc trưng của dòng Marshall. Khả năng lọc tạp âm môi trường tốt giúp bạn tận hưởng không gian âm nhạc riêng biệt dù ở nơi đông người. Thời lượng pin ấn tượng lên đến hàng chục giờ sử dụng liên tục kèm theo mic đàm thoại chất lượng cao lọc gió hiệu quả.",False
"Vợ chồng mình mới chuyển đến căn hộ chung cư nên muốn mua bộ bàn ghế gỗ phòng khách kiểu dáng đơn giản hiện đại vân gỗ đẹp để làm nổi bật không gian nhà",Bộ bàn ghế gỗ Sồi tự nhiên,"Sản phẩm được gia công từ gỗ sồi nhập khẩu với những đường vân tự nhiên cực kỳ sang trọng. Thiết kế tối giản theo phong cách Scandinavian phù hợp cho các không gian sống hiện đại. Bộ sản phẩm bao gồm một bàn trà và hệ thống ghế đơn chắc chắn được sơn phủ bóng bảo vệ gỗ bền đẹp theo thời gian.",False
"Mình muốn tìm mua bộ đồ chơi thông minh giúp bé 2 tuổi phát triển khả năng tư duy hình khối và nhận biết màu sắc yêu cầu chất liệu phải an toàn không gây độc hại",Bộ xếp hình nam châm 100 chi tiết,"Bộ đồ chơi giáo dục trí tuệ với các khối hình học đa dạng có gắn nam châm giúp bé dễ dàng lắp ghép sáng tạo. Chất liệu nhựa ABS cao cấp không chứa BPA cực kỳ an toàn cho sức khỏe của trẻ nhỏ. Màu sắc tươi sáng giúp bé rèn luyện thị giác và khả năng phân tích logic ngay từ khi còn nhỏ.",True
"Sắp tới sinh nhật bé nhà mình nên muốn thuê thợ chụp ảnh sự kiện chuyên nghiệp tại Đà Nẵng để lưu giữ những khoảnh khắc kỷ niệm đẹp cho gia đình",Gói chụp ảnh sự kiện sinh nhật,"Dịch vụ chụp ảnh chuyên nghiệp dành cho các buổi tiệc gia đình và sự kiện nhỏ. Nhiếp ảnh gia nhiệt tình có kinh nghiệm bắt trọn những khoảnh khắc tự nhiên và cảm xúc nhất. Gói dịch vụ bao gồm chỉnh sửa ảnh chuyên sâu và trả toàn bộ file ảnh chất lượng cao trong vòng 24 giờ sau buổi chụp.",True
"Con mình năm nay lên lớp 9 đang cần tìm gia sư dạy kèm môn Toán tại nhà để ôn thi vào lớp 10 trường công lập yêu cầu gia sư có kinh nghiệm và dạy nhiệt tình",Gia sư Toán ôn thi vào 10,"Đội ngũ gia sư là các sinh viên ưu tú có thành tích cao trong các kỳ thi học sinh giỏi và có kinh nghiệm giảng dạy ôn thi chuyển cấp hiệu quả. Phương pháp dạy học bám sát chương trình thi giúp học sinh lấp đầy lỗ hổng kiến thức và rèn luyện kỹ năng làm bài thi đạt điểm cao.",True
"Tìm mua đôi giày chạy bộ chính hãng size 42 yêu cầu độ đàn hồi tốt và bảo vệ cổ chân khi vận động mạnh mình ưu tiên dòng Adidas Ultraboost đời mới",Adidas Ultraboost 21,"Giày thể thao cao cấp dành cho chạy bộ với công nghệ đế đệm Boost mang lại độ phản hồi lực cực tốt. Thiết kế ôm sát bàn chân giúp ổn định cổ chân và giảm thiểu chấn thương khi chạy ở tốc độ cao. Sản phẩm mới 100% nguyên hộp đầy đủ tem mác chính hãng phù hợp cho người có size chân 42.",True
"Mình đang ở trọ một mình nên cần tìm cái tủ lạnh mini nào nhỏ gọn thôi nhưng làm lạnh nhanh và không tốn quá nhiều điện giá sinh viên càng tốt",Tủ lạnh Aqua 90 lít,"Tủ lạnh thiết kế một cửa gọn gàng rất phù hợp cho không gian phòng trọ nhỏ hẹp. Hệ thống làm lạnh trực tiếp giúp thực phẩm luôn tươi ngon và làm đá nhanh chóng. Máy vận hành rất êm và tiết kiệm điện năng hàng tháng cho người dùng. Tình trạng còn rất mới do mình mới dùng được vài tháng.",False
"Cần mua cục sạc dự phòng dung lượng khoảng 20000mAh có hỗ trợ sạc nhanh cho cả iPhone và Samsung thiết kế chắc chắn bền bỉ để mình mang đi phượt",Sạc dự phòng Xiaomi Gen 3,"Sạc dự phòng dung lượng lớn với công nghệ sạc nhanh đa thiết bị đảm bảo cung cấp năng lượng cho điện thoại của bạn suốt chuyến đi dài. Vỏ ngoài làm bằng nhôm nhám bền bỉ chống va đập tốt và cầm nắm rất chắc tay. Tích hợp nhiều tính năng bảo vệ an toàn chống cháy nổ và quá dòng.",True
"Muốn tìm mua bàn làm việc bằng gỗ tự nhiên có ngăn kéo để đựng tài liệu cá nhân kích thước vừa phải phù hợp đặt trong phòng ngủ nhỏ",Bàn làm việc gỗ cao su,"Bàn được làm từ gỗ cao su tự nhiên đã qua xử lý chống mối mọt và cong vênh. Thiết kế tích hợp hai ngăn kéo rộng rãi giúp bạn sắp xếp tài liệu và đồ dùng làm việc ngăn nắp. Bề mặt bàn mịn màng được sơn phủ bảo vệ chống trầy xước giúp tăng độ bền cho sản phẩm.",True
"Tìm mua đặc sản chả bò Đà Nẵng chuẩn vị làm quà biếu đối tác yêu cầu hàng mới ra lò đóng gói hút chân không sạch sẽ đảm bảo vệ sinh an toàn thực phẩm",Chả bò Đà Nẵng loại đặc biệt,"Đặc sản chả bò truyền thống được làm từ thịt đùi bò tươi ngon nhất kết hợp với các gia vị tự nhiên. Sản phẩm cam kết không pha bột hay các chất bảo quản gây hại. Quy trình chế biến sạch sẽ và đóng gói hút chân không giúp giữ nguyên hương vị thơm ngon và dễ dàng mang đi xa.",True
