input,target_intent,product_title,is_new
Bố mẹ em cần tìm một chiếc ly dựng nước mới cứng khoảng 20 tỏi giúp mình nha,keyword: ly dựng nước | condition: mới | budget: 20000000,ly dựng nước,True
Ai có tủ lạnh used đi chơi tennis cho người mới tập không bị đuối pass lại em hén,keyword: tủ lạnh | condition: cũ | budget: 0,tủ lạnh samsung rt22farbdsa,False
Tài chính cần tìm laptop 2hand cho chuyến đi du lịch biển sắp tới chụp hình cho xinh nha shop,keyword: laptop | condition: cũ | budget: 0,tai nghe lenovo th30 cũ,False
Anh cần tìm mua điện thoại mới 100% cho con gái đi học cấp 3 đỡ mỏi chân dưới 17 tr nhé,keyword: điện thoại | condition: mới | budget: 17000000,sạc điện thoại,True
Khách pass lại bàn phím mới cứng dưới 14 tỏi nha,keyword: bàn phím | condition: mới | budget: 14000000,bàn phím ziyou lang,True
Ai có điện thoại used để chạy mượt Photoshop với Illustrator pass lại em dưới 17 tr shop ơi,keyword: điện thoại | condition: cũ | budget: 17000000,iphone 7,False
Em đang muốn kiếm loa bluetooth nguyên seal dưới 29 triệu được không ạ,keyword: loa | condition: mới | budget: 29000000,loa bluetooth,True
Ai có iphone 7 hàng lướt để phòng khách nhìn cho sang pass lại em giúp mình nha,keyword: điện thoại | condition: cũ | budget: 0,iphone 7,False
Nhà em cần tìm một chiếc remote điều hòa casper chính hãng để trang trí bàn làm việc cho đẹp hén,keyword: remote điều hòa casper | condition: mới | budget: 0,remote điều hòa casper,True
Tài chính cần tìm điện thoại hàng new đi phượt sạc nhanh cho cả iPhone và Samsung inbox em nha,keyword: điện thoại | condition: mới | budget: 0,sạc điện thoại,True
Cu nhà em cần tìm mua lại chuột mới 100% khoảng 23 tỏi hén,keyword: chuột | condition: mới | budget: 23000000,chuột máy tính,True
Cho người già bị tiểu đường ở nhà ăn anh cần tìm mua rèm ktx khoảng 600 k mới cứng hén,keyword: rèm ktx | condition: mới | budget: 600000,rèm ktx,True
Góc tìm đồ em cần mua chuột máy tính chính hãng khoảng 1000 ngàn về tự tập làm móng mỗi cuối tuần cho tiết kiệm,keyword: chuột | condition: mới | budget: 1000000,chuột máy tính,True
Ai có chuột mới tinh về giặt đồ cho con đỡ mùi mốc pass lại em tầm 1000 ngàn ad ơi,keyword: chuột | condition: mới | budget: 1000000,chuột máy tính,True
Ai có điện thoại used lưu giữ khoảnh khắc kỷ niệm đẹp cho gia đình pass lại em khoảng 19 triệu shop ơi,keyword: điện thoại | condition: cũ | budget: 19000000,iphone 7,False
Cu nhà em cần tìm mua lại rèm ktx hàng new ib em,keyword: rèm ktx | condition: mới | budget: 0,rèm ktx,True
Có ae nào tìm mua gối nguyên seal khoảng 29 củ được không ạ,keyword: gối | condition: mới | budget: 29000000,gối,True
Bố mẹ em đang cần tìm mua chuột máy tính nguyên seal dưới 23 tr để lại em,keyword: chuột | condition: mới | budget: 23000000,chuột máy tính,True
Có ai pass lại laptop hàng lướt để cài lại win với phần mềm văn phòng tận nhà khoảng 16 tr không cho e xin giá,keyword: laptop | condition: cũ | budget: 16000000,laptop lenovo ideapad flex 5i,False
